PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),SiteEnergyUseWN(kBtu),UsesSteam,UsesElectricity,UsesNaturalGas,BuildingAge
Warehouse,GREATER DUWAMISH,1.0,1,106000,763364.5,0,1,0,62
Distribution Center,GREATER DUWAMISH,1.0,1,119661,775864.1875,0,1,1,65
Large Office,LAKE UNION,1.0,7,94472,4342597.0,0,1,0,24
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,6,61800,3155171.75,0,1,0,41
Large Office,MAGNOLIA / QUEEN ANNE,2.0,5,98055,5661689.5,0,1,0,29
Large Office,LAKE UNION,1.0,3,56041,11672252.0,0,1,1,24
Small- and Mid-Sized Office,NORTH,1.0,5,74880,5531460.0,0,1,0,51
Small- and Mid-Sized Office,NORTH,1.0,6,88774,6353294.0,0,1,0,46
Large Office,NORTH,1.0,5,122250,5535626.0,0,1,0,42
Small- and Mid-Sized Office,NORTH,1.0,4,53730,4742869.0,0,1,0,46
Small- and Mid-Sized Office,DELRIDGE,1.0,3,55593,4414587.0,0,1,1,65
Large Office,LAKE UNION,1.0,4,73096,4899096.0,0,1,0,43
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,4,58195,3018140.75,0,1,0,40
Large Office,LAKE UNION,1.0,5,118248,5869476.5,0,1,1,16
Laboratory,LAKE UNION,1.0,3,55200,12072969.0,0,1,1,97
Large Office,LAKE UNION,1.0,6,86700,3238216.0,0,1,0,21
Large Office,LAKE UNION,1.0,5,172371,7960023.0,0,1,1,16
Warehouse,LAKE UNION,1.0,5,127800,2811924.5,0,1,1,111
Large Office,LAKE UNION,1.0,6,131592,11812678.0,0,1,1,24
Large Office,LAKE UNION,1.0,4,136143,6917478.5,0,1,1,19
Large Office,LAKE UNION,1.0,6,193198,7554767.0,0,1,1,19
Mixed Use Property,LAKE UNION,1.0,3,67380,3066491.25,0,1,1,71
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,5,67236,3558562.5,0,1,0,51
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,5,66762,3838006.75,0,1,0,53
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,5,66762,3705629.0,0,1,0,55
Medical Office,NORTHEAST,1.0,4,95995,8422861.0,0,1,1,31
Self-Storage Facility,BALLARD,2.0,2,111445,6076957.0,0,1,1,79
Warehouse,SOUTHWEST,1.0,4,98475,1178591.625,0,1,1,28
Supermarket / Grocery Store,GREATER DUWAMISH,1.0,1,63225,6522551.5,0,1,0,17
Other,DELRIDGE,1.0,1,113780,4021869.0,0,1,1,70
Warehouse,GREATER DUWAMISH,1.0,1,243044,1396082.25,0,1,1,26
Other,LAKE UNION,1.0,3,123940,11521702.0,0,1,0,24
Other,MAGNOLIA / QUEEN ANNE,1.0,3,53464,6876439.5,0,1,0,73
Retail Store,NORTHWEST,1.0,1,131387,8949319.0,0,1,1,28
Warehouse,NORTHWEST,1.0,3,94400,800622.875,0,1,1,26
Other,NORTHWEST,6.0,1,111900,10079993.0,0,1,1,61
Supermarket / Grocery Store,NORTHWEST,1.0,1,144776,13827966.0,0,1,1,41
Supermarket / Grocery Store,NORTHWEST,1.0,1,50083,8901074.0,0,1,1,28
Large Office,LAKE UNION,1.0,3,95426,4991360.5,0,1,1,37
Small- and Mid-Sized Office,LAKE UNION,1.0,4,53472,3897738.0,0,1,0,25
Small- and Mid-Sized Office,LAKE UNION,1.0,3,62332,5413418.0,0,1,0,24
Large Office,LAKE UNION,1.0,3,166128,11325513.0,0,1,1,26
Large Office,LAKE UNION,1.0,4,140302,8651835.0,0,1,1,26
Large Office,GREATER DUWAMISH,1.0,5,268920,7683885.0,0,1,0,43
Warehouse,GREATER DUWAMISH,1.0,2,90000,1468317.375,0,1,1,58
Retail Store,GREATER DUWAMISH,1.0,1,50200,1193084.5,0,1,1,59
Small- and Mid-Sized Office,BALLARD,1.0,6,87833,5055586.0,0,1,1,100
Warehouse,BALLARD,1.0,2,63240,272913.6875,0,1,1,84
Self-Storage Facility,MAGNOLIA / QUEEN ANNE,1.0,4,106893,465533.3125,0,1,0,37
Warehouse,MAGNOLIA / QUEEN ANNE,1.0,4,106041,1254908.5,0,1,1,28
Self-Storage Facility,MAGNOLIA / QUEEN ANNE,1.0,3,94470,1187738.375,0,1,1,69
Large Office,DOWNTOWN,1.0,10,143508,7783714.5,0,1,0,23
Warehouse,GREATER DUWAMISH,1.0,1,22780,402051.3125,0,1,0,59
Distribution Center,GREATER DUWAMISH,1.0,1,124472,6345882.5,0,1,1,58
Distribution Center,GREATER DUWAMISH,1.0,1,50065,1751500.375,0,1,1,58
Distribution Center,GREATER DUWAMISH,1.0,1,57540,2808274.75,0,1,1,56
Warehouse,GREATER DUWAMISH,1.0,1,85400,1536998.25,0,1,0,59
Warehouse,GREATER DUWAMISH,1.0,1,55700,528115.6875,0,1,0,59
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,1,53250,1760992.25,0,1,1,61
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,6,50245,2220030.5,0,1,1,38
Warehouse,NORTHWEST,1.0,3,64660,333622.5938,0,1,1,39
Mixed Use Property,EAST,1.0,2,55916,3774978.5,0,1,1,98
Distribution Center,GREATER DUWAMISH,1.0,1,161678,10093972.0,0,1,1,57
Distribution Center,GREATER DUWAMISH,1.0,1,52613,1231121.75,0,1,1,45
Other,GREATER DUWAMISH,1.0,1,56608,5246590.0,0,1,1,85
Supermarket / Grocery Store,NORTH,1.0,1,58480,11311432.0,0,1,1,45
Large Office,LAKE UNION,1.0,6,211900,9200102.0,0,1,0,20
Retail Store,LAKE UNION,1.0,4,104014,10443463.0,0,1,1,29
Small- and Mid-Sized Office,CENTRAL,1.0,2,62220,5444253.5,0,1,1,111
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,1,65430,3586460.5,0,1,1,55
Large Office,NORTHEAST,1.0,3,59850,6114351.5,0,1,1,19
Other,CENTRAL,1.0,3,80004,12232124.0,0,1,0,99
Warehouse,GREATER DUWAMISH,1.0,2,323916,8767252.0,0,1,1,34
Small- and Mid-Sized Office,LAKE UNION,1.0,4,54175,4910799.5,0,1,0,47
Distribution Center,GREATER DUWAMISH,1.0,2,98024,2109093.75,0,1,1,36
Mixed Use Property,LAKE UNION,1.0,1,50000,2758081.75,0,1,1,97
Large Office,LAKE UNION,1.0,5,77953,5318277.0,0,1,0,35
Retail Store,NORTH,1.0,2,302812,7783388.0,0,1,1,75
Small- and Mid-Sized Office,NORTHWEST,1.0,5,86400,9266020.0,0,1,1,51
Other,North,1.0,2,98539,5502264.5,0,1,1,56
Small- and Mid-Sized Office,NORTHWEST,1.0,6,86483,6636482.5,0,1,0,44
Distribution Center,DELRIDGE,1.0,1,51600,1196293.25,0,1,1,49
Warehouse,DELRIDGE,1.0,1,140520,2502923.5,0,1,1,57
Large Office,MAGNOLIA / QUEEN ANNE,1.0,5,91649,4636396.5,0,1,1,39
Other,NORTHWEST,1.0,3,69854,7063953.5,0,1,1,20
Medical Office,NORTHWEST,1.0,3,63909,4765753.5,0,1,0,20
Warehouse,NORTHWEST,1.0,2,53472,1065308.875,0,1,1,77
Warehouse,GREATER DUWAMISH,1.0,1,50417,2149815.75,0,1,1,45
Restaurant,DOWNTOWN,1.0,1,43728,11854450.0,0,0,1,125
Retail Store,NORTH,1.0,2,168619,6718441.0,0,1,1,60
Large Office,LAKE UNION,1.0,4,104500,6486377.5,0,1,0,25
Warehouse,GREATER DUWAMISH,1.0,2,104786,1153253.75,0,1,1,56
Other,GREATER DUWAMISH,1.0,1,11440,1901429.125,0,1,1,25
Other,GREATER DUWAMISH,1.0,1,110689,2789899.0,0,1,1,52
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,1,53620,2145554.75,0,1,1,77
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,1,50008,3380481.5,0,1,1,87
Large Office,MAGNOLIA / QUEEN ANNE,1.0,4,191000,6657348.5,0,1,1,16
Warehouse,GREATER DUWAMISH,1.0,1,50832,2551022.25,0,1,1,68
Refrigerated Warehouse,GREATER DUWAMISH,1.0,1,76354,2792753.5,0,1,1,54
Warehouse,GREATER DUWAMISH,1.0,1,98480,2898646.0,0,1,1,69
Mixed Use Property,LAKE UNION,1.0,2,53002,3591767.75,0,1,1,121
Large Office,LAKE UNION,1.0,11,124721,14339818.0,0,1,1,54
Small- and Mid-Sized Office,LAKE UNION,1.0,7,94002,5662234.0,0,1,0,55
Warehouse,GREATER DUWAMISH,1.0,1,93020,1252323.875,0,1,0,51
Other,DOWNTOWN,1.0,1,23000,845892.1875,0,1,1,79
Supermarket / Grocery Store,SOUTHEAST,1.0,1,61053,13564414.0,0,1,1,23
Small- and Mid-Sized Office,DOWNTOWN,1.0,5,78920,2830674.75,0,1,0,121
Small- and Mid-Sized Office,DOWNTOWN,1.0,7,99440,6669621.5,0,1,1,119
Small- and Mid-Sized Office,DOWNTOWN,1.0,6,73260,3020795.0,0,1,0,118
Small- and Mid-Sized Office,DOWNTOWN,1.0,4,69817,2380143.75,1,1,1,125
Small- and Mid-Sized Office,DOWNTOWN,1.0,4,84750,2165173.25,0,1,1,125
Small- and Mid-Sized Office,DOWNTOWN,1.0,6,62176,3740114.25,0,1,0,125
Large Office,DOWNTOWN,1.0,4,164380,7778893.0,1,1,1,125
Large Office,DOWNTOWN,1.0,7,160580,4501784.0,1,1,1,118
Small- and Mid-Sized Office,DOWNTOWN,1.0,6,73470,3408133.75,0,1,0,116
Other,DOWNTOWN,1.0,3,67755,2031594.375,0,1,0,119
Mixed Use Property,GREATER DUWAMISH,1.0,3,56700,2462293.5,0,1,1,115
Warehouse,GREATER DUWAMISH,1.0,1,82852,2472120.0,0,1,1,103
Other,GREATER DUWAMISH,1.0,2,76442,4608482.0,0,1,1,72
Distribution Center,GREATER DUWAMISH,1.0,2,92792,3471977.25,0,1,1,63
Other,GREATER DUWAMISH,2.0,2,125519,2244317.0,0,1,0,84
