PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),SiteEnergyUseWN(kBtu),UsesSteam,UsesElectricity,UsesNaturalGas,BuildingAge
Medical Office,EAST,1.0,2,20570,3129807.0,0,1,1,63
Small- and Mid-Sized Office,EAST,1.0,3,73549,3209164.5,0,1,1,115
Other,EAST,1.0,5,34380,11542708.0,1,1,1,37
Medical Office,EAST,1.0,3,39115,3838425.0,0,1,1,62
Other,EAST,1.0,3,38038,1255324.0,1,1,0,109
Worship Facility,EAST,1.0,3,37796,2769792.0,1,1,1,63
Small- and Mid-Sized Office,Ballard,1.0,1,27744,5355753.0,0,1,0,32
Warehouse,BALLARD,1.0,1,36444,169464.0938,0,1,0,65
Warehouse,BALLARD,1.0,1,27553,1054377.75,0,1,1,75
Distribution Center,BALLARD,3.0,1,57310,1395637.75,0,1,1,74
Mixed Use Property,LAKE UNION,1.0,2,25920,1071271.0,0,1,1,105
Restaurant,LAKE UNION,1.0,3,40686,2188575.25,0,1,1,106
Retail Store,LAKE UNION,1.0,2,45271,2912179.5,0,1,1,61
Small- and Mid-Sized Office,LAKE UNION,1.0,3,16200,1503529.375,0,1,1,105
Small- and Mid-Sized Office,LAKE UNION,1.0,3,26176,1074761.125,0,1,1,99
Small- and Mid-Sized Office,LAKE UNION,1.0,1,37740,7419337.0,0,1,1,99
Other,MAGNOLIA / QUEEN ANNE,1.0,1,26000,5719698.0,1,1,0,64
Worship Facility,MAGNOLIA / QUEEN ANNE,1.0,3,23241,789925.875,0,1,1,16
Other,MAGNOLIA / QUEEN ANNE,1.0,1,21018,1789470.75,1,1,0,23
Other,MAGNOLIA / QUEEN ANNE,1.0,1,30533,6193701.5,0,1,1,27
Other,MAGNOLIA / QUEEN ANNE,1.0,2,40600,2470816.0,1,1,1,33
Small- and Mid-Sized Office,LAKE UNION,1.0,4,38038,2040142.0,0,1,0,26
Small- and Mid-Sized Office,LAKE UNION,1.0,4,40000,2739358.75,0,1,1,18
Small- and Mid-Sized Office,LAKE UNION,1.0,3,35404,9228577.0,0,1,1,97
Large Office,LAKE UNION,1.0,6,29910,7429423.0,0,1,1,12
Small- and Mid-Sized Office,LAKE UNION,1.0,4,35780,1979164.25,0,1,0,99
Mixed Use Property,MAGNOLIA / QUEEN ANNE,1.0,4,17824,585965.6875,0,1,0,61
Other,DOWNTOWN,1.0,1,49680,2890473.75,1,1,0,59
Other,DOWNTOWN,1.0,1,36314,1882952.875,1,1,1,63
Other,DOWNTOWN,1.0,2,25920,1230670.25,0,1,0,109
Small- and Mid-Sized Office,DOWNTOWN,1.0,4,47686,2223121.25,1,1,0,106
Mixed Use Property,DOWNTOWN,1.0,2,49280,5469793.5,0,1,1,125
Low-Rise Multifamily,DOWNTOWN,1.0,4,45500,3778355.0,0,1,0,83
Restaurant,DOWNTOWN,1.0,2,25380,6868711.5,0,1,1,113
Small- and Mid-Sized Office,DOWNTOWN,1.0,6,40715,2877728.5,0,1,1,110
Mixed Use Property,DOWNTOWN,1.0,4,47265,1818635.25,0,1,0,35
Small- and Mid-Sized Office,DOWNTOWN,1.0,4,36160,1921962.0,0,1,0,115
Mixed Use Property,DOWNTOWN,1.0,1,34617,5123179.0,0,1,1,107
Small- and Mid-Sized Office,DOWNTOWN,1.0,5,66900,1634178.25,0,1,1,116
Mixed Use Property,DOWNTOWN,1.0,3,29340,2370772.25,0,1,1,115
Other,DOWNTOWN,1.0,2,22710,287763.5,0,1,0,95
Small- and Mid-Sized Office,LAKE UNION,1.0,3,36959,3205182.5,0,1,1,25
Small- and Mid-Sized Office,LAKE UNION,1.0,5,44860,3658985.5,0,1,1,61
K-12 School,EAST,1.0,2,45960,4711474.0,0,1,1,95
Small- and Mid-Sized Office,LAKE UNION,1.0,2,21128,436604.0938,0,1,0,66
Mixed Use Property,LAKE UNION,1.0,4,274442,9512996.0,0,1,1,17
Small- and Mid-Sized Office,LAKE UNION,1.0,3,51552,1539066.375,0,1,0,12
Hotel,LAKE UNION,1.0,4,38520,2874815.0,0,1,1,66
Hotel,LAKE UNION,1.0,3,24930,867184.375,0,1,1,64
Worship Facility,LAKE UNION,1.0,1,27338,682542.8125,0,1,0,65
Other,EAST,1.0,2,20110,2278550.5,0,1,1,26
Laboratory,MAGNOLIA / QUEEN ANNE,1.0,2,34416,12512916.0,0,1,1,63
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,3,45864,3034554.5,0,1,1,95
K-12 School,NORTHWEST,1.0,2,49252,3870672.5,0,1,1,26
K-12 School,North,1.0,1,34005,991918.0,0,1,1,75
K-12 School,SOUTHWEST,1.0,1,41221,2246747.5,0,1,1,76
Small- and Mid-Sized Office,LAKE UNION,1.0,3,33176,1513388.25,0,1,1,38
Retail Store,LAKE UNION,1.0,3,21430,1980961.25,0,1,1,32
K-12 School,SOUTHEAST,1.0,2,75605,2457541.75,0,1,1,25
K-12 School,SOUTHEAST,1.0,2,29525,1369340.75,0,1,1,17
Other,EAST,1.0,3,31191,6014124.0,0,1,1,98
Other,NORTH,1.0,1,37377,3515178.25,0,1,1,78
Warehouse,GREATER DUWAMISH,1.0,1,29380,878933.3125,0,1,0,48
Worship Facility,EAST,1.0,2,22688,391818.4063,0,1,1,103
Other,SOUTHEAST,1.0,2,22364,1625774.5,0,1,1,63
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2,41262,2001403.875,0,1,0,43
Small- and Mid-Sized Office,LAKE UNION,1.0,2,43183,7588115.5,0,1,1,72
Worship Facility,NORTH,1.0,3,45680,2394061.75,0,1,1,117
Worship Facility,SOUTHWEST,1.0,1,23562,531737.1875,0,1,0,68
Small- and Mid-Sized Office,Ballard,1.0,4,28844,973080.1875,0,1,0,26
K-12 School,DELRIDGE,1.0,2,54528,2024296.625,0,1,0,37
Warehouse,GREATER DUWAMISH,1.0,1,21101,819493.125,0,1,1,36
Refrigerated Warehouse,GREATER DUWAMISH,1.0,2,45594,1329148.25,0,1,0,111
Other,GREATER DUWAMISH,1.0,1,26660,2241280.5,0,1,0,75
Warehouse,GREATER DUWAMISH,1.0,1,28126,966168.625,0,1,1,50
Warehouse,GREATER DUWAMISH,1.0,1,35000,378714.4063,0,1,0,61
Warehouse,GREATER DUWAMISH,1.0,1,26150,1322416.75,0,1,1,63
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2,24000,1148448.75,0,1,0,58
K-12 School,EAST,1.0,5,43594,2699616.0,0,1,1,57
Distribution Center,LAKE UNION,1.0,1,28080,892651.125,0,1,1,113
Senior Care Community,NORTHWEST,1.0,2,51298,5847878.5,0,1,1,71
Worship Facility,NORTHWEST,1.0,1,22047,272664.4063,0,1,0,63
Warehouse,GREATER DUWAMISH,1.0,1,31600,3731853.25,0,1,1,46
Warehouse,GREATER DUWAMISH,1.0,1,35289,1010737.813,0,1,1,18
Warehouse,GREATER DUWAMISH,1.0,1,28920,2053772.75,0,1,1,44
Warehouse,GREATER DUWAMISH,1.0,1,22176,746905.625,0,1,1,47
Warehouse,GREATER DUWAMISH,1.0,1,31300,398438.5938,0,1,1,47
Warehouse,GREATER DUWAMISH,1.0,1,22000,700627.625,0,1,0,46
Small- and Mid-Sized Office,NORTH,1.0,3,39927,3832168.5,0,1,0,51
Other,NORTH,1.0,1,30610,4513728.0,0,1,1,46
Medical Office,NORTH,1.0,2,20580,1002995.0,0,1,0,45
Medical Office,NORTH,1.0,2,38745,3073612.0,0,1,1,57
Self-Storage Facility,NORTHEAST,1.0,2,20296,855665.125,0,1,0,66
Mixed Use Property,NORTHEAST,1.0,2,22135,1365716.125,0,1,1,80
Medical Office,NORTHEAST,1.0,3,38378,1807593.875,0,1,1,58
Warehouse,NORTHEAST,1.0,2,33576,1466199.875,0,1,1,45
Supermarket / Grocery Store,NORTHEAST,1.0,1,33005,10821972.0,0,1,1,50
Other,EAST,1.0,1,20971,729397.1875,0,1,0,44
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,3,23910,910117.6875,0,1,1,98
Worship Facility,BALLARD,1.0,2,21765,498909.0,0,1,1,115
Worship Facility,CENTRAL,1.0,2,26560,1831347.125,0,1,1,124
Warehouse,LAKE UNION,1.0,2,20140,116486.6016,0,1,0,68
Retail Store,GREATER DUWAMISH,1.0,2,38845,6917280.0,0,1,1,33
Supermarket / Grocery Store,GREATER DUWAMISH,1.0,1,26092,8071987.5,0,1,1,72
K-12 School,NORTH,1.0,1,38582,2054157.0,0,1,1,70
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,1,25500,1430417.125,0,1,1,58
Warehouse,GREATER DUWAMISH,1.0,1,41895,1343671.0,0,1,1,64
Retail Store,GREATER DUWAMISH,1.0,2,56193,2580058.5,0,1,1,67
K-12 School,BALLARD,1.0,3,35448,1632148.75,0,1,1,103
Supermarket / Grocery Store,BALLARD,1.0,1,29214,9558542.0,0,1,1,59
Supermarket / Grocery Store,BALLARD,1.0,1,46068,14473242.0,0,1,1,25
Other,BALLARD,1.0,1,32000,1527101.375,0,1,1,64
Mixed Use Property,BALLARD,1.0,2,31140,1111093.0,0,1,1,115
Warehouse,BALLARD,1.0,3,41478,3287502.0,0,1,1,50
Warehouse,BALLARD,1.0,1,39840,774360.0,0,1,0,45
Other,BALLARD,1.0,1,15000,1642173.75,0,1,1,21
Other,BALLARD,1.0,2,21528,330300.5,0,1,1,101
Other,BALLARD,1.0,2,30000,1115775.5,0,1,1,97
Other,BALLARD,1.0,2,30087,5205994.5,0,1,0,83
Worship Facility,BALLARD,1.0,1,40445,911009.375,0,1,1,50
Retail Store,BALLARD,1.0,1,23500,1149592.0,0,1,1,29
Retail Store,Ballard,1.0,1,22420,1524765.875,0,1,1,58
Supermarket / Grocery Store,MAGNOLIA / QUEEN ANNE,1.0,1,25842,8746499.0,0,1,1,64
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,3,26389,1186733.125,0,1,0,33
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,3,25859,916019.375,0,1,1,43
Warehouse,MAGNOLIA / QUEEN ANNE,1.0,1,25600,1943594.875,0,1,1,51
Other,MAGNOLIA / QUEEN ANNE,1.0,1,23169,222255.9063,0,1,0,60
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,4,33385,1294615.25,0,1,0,17
Warehouse,MAGNOLIA / QUEEN ANNE,1.0,1,56884,1577967.75,0,1,1,65
Retail Store,BALLARD,1.0,1,32810,2168833.0,0,1,1,36
Self-Storage Facility,MAGNOLIA / QUEEN ANNE,1.0,3,30989,98862.89844,0,1,0,45
Self-Storage Facility,MAGNOLIA / QUEEN ANNE,1.0,3,39952,58114.19922,0,1,0,110
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,2,20022,688824.0,0,1,0,64
Distribution Center,MAGNOLIA / QUEEN ANNE,1.0,2,36498,602201.625,0,1,1,65
Distribution Center,MAGNOLIA / QUEEN ANNE,1.0,1,35946,503210.6875,0,1,1,57
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,4,24472,845044.125,0,1,1,18
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,4,22365,727385.8125,0,1,0,46
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,4,30172,967548.3125,0,1,0,31
Warehouse,BALLARD,1.0,4,42500,262995.3125,0,1,0,98
Small- and Mid-Sized Office,BALLARD,1.0,4,23032,1172535.25,0,1,0,124
Other,BALLARD,1.0,3,40836,7536508.5,0,1,1,125
Small- and Mid-Sized Office,BALLARD,1.0,2,23500,1745284.25,0,1,1,57
Small- and Mid-Sized Office,BALLARD,1.0,1,22282,665681.875,0,1,1,59
Self-Storage Facility,BALLARD,1.0,2,24000,599426.5,0,1,1,123
Mixed Use Property,BALLARD,1.0,3,27085,2151546.25,0,1,1,116
Other,NORTH,1.0,2,29258,8571176.0,0,1,1,29
Small- and Mid-Sized Office,NORTH,1.0,2,37500,2448649.75,0,1,1,94
K-12 School,NORTHWEST,1.0,3,23983,1270514.75,0,1,1,95
Distribution Center,DELRIDGE,1.0,1,24100,939941.6875,0,1,1,45
K-12 School,NORTHEAST,3.0,2,31343,4277566.0,0,1,1,21
Mixed Use Property,NORTHWEST,1.0,3,33062,2450442.75,0,1,0,29
Other,MAGNOLIA / QUEEN ANNE,1.0,2,20294,1845057.875,0,1,1,68
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,4,29722,1286817.375,0,1,0,42
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,4,26048,1785685.5,0,1,0,42
Mixed Use Property,MAGNOLIA / QUEEN ANNE,1.0,2,57644,2300589.0,0,1,1,65
Warehouse,MAGNOLIA / QUEEN ANNE,1.0,2,39497,1809734.75,0,1,1,70
Other,EAST,1.0,1,33087,3944599.75,0,1,1,93
Small- and Mid-Sized Office,NORTHWEST,1.0,2,27574,1243709.625,0,1,0,43
Retail Store,NORTH,1.0,1,24982,335245.0,0,1,0,60
Senior Care Community,North,1.0,5,43661,4141925.0,0,1,1,27
Small- and Mid-Sized Office,NORTHWEST,1.0,3,48798,2596383.25,0,1,0,38
Mixed Use Property,North,1.0,2,32009,2177737.0,0,1,1,73
Retail Store,NORTH,1.0,1,41615,2001296.75,0,1,0,59
Medical Office,NORTH,1.0,3,28841,1525049.625,0,1,1,37
Self-Storage Facility,NORTH,2.0,2,33344,129466.8984,0,1,0,48
Other,NORTH,2.0,1,30498,2652254.5,0,1,1,20
K-12 School,DELRIDGE,1.0,2,42975,1124454.25,0,1,1,101
Other,DELRIDGE,1.0,1,23260,1803514.875,0,1,1,62
Small- and Mid-Sized Office,DELRIDGE,1.0,2,30659,2828171.5,0,1,1,37
Other,MAGNOLIA / QUEEN ANNE,1.0,2,27144,1138349.25,0,1,1,105
Other,NORTHWEST,5.0,1,23166,3648465.5,0,1,1,55
Medical Office,NORTHWEST,1.0,2,34759,1633105.375,0,1,0,46
Worship Facility,NORTHWEST,1.0,2,44719,1781436.375,0,1,1,60
Supermarket / Grocery Store,GREATER DUWAMISH,1.0,1,21603,5927199.5,0,1,1,60
Distribution Center,DELRIDGE,1.0,1,42900,461205.5938,0,1,0,46
Other,DELRIDGE,5.0,1,57952,3347245.25,0,1,1,20
Other,DELRIDGE,1.0,1,26232,3315521.5,0,1,1,54
Warehouse,DOWNTOWN,1.0,2,25840,310602.3125,0,1,0,69
Small- and Mid-Sized Office,DOWNTOWN,1.0,1,45145,1405510.25,0,1,1,37
Small- and Mid-Sized Office,DOWNTOWN,1.0,5,48237,2000777.25,0,1,1,24
K-12 School,GREATER DUWAMISH,1.0,1,50546,1220512.25,0,1,1,54
Supermarket / Grocery Store,BALLARD,1.0,1,45522,12559767.0,0,1,1,31
Retail Store,NORTHWEST,1.0,2,20088,337536.0938,0,1,0,46
Other,GREATER DUWAMISH,5.0,2,138907,8551562.0,0,1,1,36
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2,40657,2828385.0,0,1,1,28
Warehouse,GREATER DUWAMISH,1.0,1,20200,283275.0,0,1,1,125
Residence Hall,EAST,1.0,1,44086,4056815.5,1,1,1,121
Small- and Mid-Sized Office,EAST,1.0,7,33548,1479454.375,0,1,0,55
Small- and Mid-Sized Office,EAST,1.0,3,21282,1380656.125,1,1,0,69
Other,SOUTHEAST,1.0,2,41022,3787648.25,0,1,0,104
Other,DELRIDGE,1.0,2,28109,3612526.75,0,1,1,59
Small- and Mid-Sized Office,NORTH,1.0,3,20590,409578.4063,0,1,0,40
Warehouse,NORTH,1.0,1,21936,116642.5,0,1,1,48
Other,NORTH,1.0,1,30160,1184385.875,0,1,1,56
Mixed Use Property,DOWNTOWN,1.0,11,111137,9946297.0,0,1,1,116
Other,Delridge,1.0,1,40189,1594851.25,0,1,1,28
Small- and Mid-Sized Office,DELRIDGE,1.0,2,66484,3098383.5,0,1,0,37
Small- and Mid-Sized Office,EAST,1.0,3,25151,1481688.75,1,1,0,66
Hotel,EAST,1.0,6,35770,2835357.0,0,1,1,97
Hotel,EAST,1.0,9,48006,3182794.5,0,1,1,97
Mixed Use Property,DOWNTOWN,1.0,2,29631,5327051.5,0,1,1,65
Small- and Mid-Sized Office,DOWNTOWN,1.0,2,23472,1589717.125,0,1,1,36
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2,21315,3161573.5,0,1,1,52
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,4,41298,2275712.0,0,1,1,41
Small- and Mid-Sized Office,DOWNTOWN,1.0,3,34030,1815642.75,0,1,1,46
Restaurant,SOUTHWEST,1.0,2,20398,9560583.0,0,1,1,123
Distribution Center,GREATER DUWAMISH,1.0,1,41308,1792023.375,0,1,1,73
Mixed Use Property,DOWNTOWN,1.0,3,43878,769771.3125,0,1,0,112
Other,MAGNOLIA / QUEEN ANNE,1.0,3,34976,943354.6875,0,1,1,113
Warehouse,MAGNOLIA / QUEEN ANNE,1.0,1,38255,1173175.75,0,1,1,68
Small- and Mid-Sized Office,LAKE UNION,1.0,3,48924,2398376.5,0,1,1,36
Small- and Mid-Sized Office,LAKE UNION,1.0,4,32297,1761932.5,0,1,0,66
Small- and Mid-Sized Office,LAKE UNION,1.0,4,35526,2638076.5,0,1,0,39
Small- and Mid-Sized Office,LAKE UNION,1.0,3,17956,706926.0,0,1,0,56
Small- and Mid-Sized Office,LAKE UNION,1.0,3,35224,1994967.75,0,1,0,25
Worship Facility,DELRIDGE,1.0,2,24224,1045964.625,0,1,1,68
Worship Facility,DELRIDGE,1.0,1,23706,456483.0938,0,1,1,62
Warehouse,GREATER DUWAMISH,1.0,1,31900,1964681.25,0,1,0,62
Other,SOUTHWEST,1.0,1,49066,4504593.5,0,1,1,108
Worship Facility,SOUTHWEST,1.0,3,30740,1849185.25,0,1,1,73
Supermarket / Grocery Store,SOUTHEAST,1.0,1,67450,2842819.5,0,1,1,66
Warehouse,MAGNOLIA / QUEEN ANNE,1.0,1,46970,882896.5,0,1,0,77
Warehouse,MAGNOLIA / QUEEN ANNE,1.0,1,47554,1083153.75,0,1,1,94
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,2,37616,1458046.0,0,1,1,46
Mixed Use Property,MAGNOLIA / QUEEN ANNE,1.0,1,24196,1146510.375,0,1,1,94
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,2,20671,746543.625,0,1,1,85
Warehouse,GREATER DUWAMISH,1.0,1,21600,557887.875,0,1,1,98
Worship Facility,SOUTHWEST,1.0,1,35844,866126.375,0,1,0,48
Small- and Mid-Sized Office,LAKE UNION,1.0,3,31774,1672465.625,0,1,1,109
Warehouse,GREATER DUWAMISH,1.0,1,26094,788592.5,0,1,0,72
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2,23687,1175914.875,0,1,0,42
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2,24221,1506510.25,0,1,0,42
Mixed Use Property,DOWNTOWN,1.0,2,57836,5381105.0,0,1,0,125
Small- and Mid-Sized Office,DOWNTOWN,1.0,2,32027,3999505.25,0,1,1,125
Small- and Mid-Sized Office,DOWNTOWN,1.0,3,32160,2805826.0,0,1,0,119
Other,GREATER DUWAMISH,1.0,3,40264,3647847.25,0,1,1,33
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,3,34425,2143122.25,0,1,1,111
K-12 School,GREATER DUWAMISH,1.0,2,52609,2001525.875,0,1,1,54
Medical Office,SOUTHWEST,1.0,3,28304,1961581.5,0,1,0,41
Distribution Center,GREATER DUWAMISH,1.0,1,29619,1524858.875,0,1,1,35
K-12 School,CENTRAL,1.0,2,21592,1651553.75,0,1,1,103
K-12 School,NORTH,1.0,2,23923,880687.3125,0,1,1,94
Small- and Mid-Sized Office,CENTRAL,1.0,3,25200,1808592.0,0,1,1,118
Small- and Mid-Sized Office,CENTRAL,1.0,2,28296,1301418.875,0,1,0,62
Small- and Mid-Sized Office,CENTRAL,1.0,3,31357,2085718.125,0,1,1,26
Distribution Center,GREATER DUWAMISH,1.0,1,160000,1157976.5,0,1,0,57
Warehouse,GREATER DUWAMISH,1.0,1,53550,5129831.0,0,1,1,65
Warehouse,GREATER DUWAMISH,1.0,1,38412,1914443.25,0,1,1,101
Self-Storage Facility,GREATER DUWAMISH,1.0,1,25881,607988.1875,0,1,0,95
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,1,24291,751206.5,0,1,1,72
Warehouse,GREATER DUWAMISH,1.0,1,36544,1338475.5,0,1,0,59
Warehouse,GREATER DUWAMISH,1.0,1,20796,1573106.75,0,1,1,76
Distribution Center,GREATER DUWAMISH,1.0,1,21349,713915.5,0,1,1,78
Warehouse,GREATER DUWAMISH,1.0,1,38630,416885.5938,0,1,0,89
Warehouse,GREATER DUWAMISH,1.0,1,20724,2085116.625,0,1,1,75
Other,GREATER DUWAMISH,1.0,1,24109,4747403.5,0,1,0,65
Refrigerated Warehouse,GREATER DUWAMISH,1.0,1,25375,4069301.5,0,1,0,70
Warehouse,GREATER DUWAMISH,1.0,1,22803,859387.1875,0,1,1,40
Mixed Use Property,GREATER DUWAMISH,1.0,1,23100,4649041.0,0,1,1,40
Refrigerated Warehouse,GREATER DUWAMISH,1.0,1,41550,642645.1875,0,1,0,74
Other,GREATER DUWAMISH,1.0,2,54170,6052090.0,0,1,1,31
K-12 School,GREATER DUWAMISH,1.0,2,64493,2037940.0,0,1,1,25
K-12 School,SOUTHEAST,1.0,2,42252,2617491.25,0,1,1,113
Self-Storage Facility,GREATER DUWAMISH,1.0,1,23100,893514.5,0,1,1,70
Worship Facility,SOUTHEAST,1.0,3,22895,505585.0,0,1,1,44
Retail Store,GREATER DUWAMISH,1.0,2,36740,1267463.125,0,1,0,23
K-12 School,SOUTHEAST,1.0,1,41428,1556431.5,0,1,1,64
Self-Storage Facility,NORTHEAST,1.0,6,41047,837795.8125,0,1,1,19
Warehouse,GREATER DUWAMISH,1.0,1,52325,919070.8125,0,1,1,88
Other,GREATER DUWAMISH,1.0,4,20600,318703.1875,0,1,1,105
Retail Store,GREATER DUWAMISH,1.0,1,25880,162960.0,0,1,0,81
Warehouse,GREATER DUWAMISH,1.0,1,45842,847703.375,0,1,1,65
Other,GREATER DUWAMISH,1.0,1,31365,678829.8125,0,1,1,53
Other,GREATER DUWAMISH,1.0,1,32100,904458.125,0,1,1,115
Warehouse,GREATER DUWAMISH,1.0,1,20520,1284942.5,0,1,1,59
Warehouse,GREATER DUWAMISH,1.0,1,22972,539778.5,0,1,0,80
Warehouse,GREATER DUWAMISH,1.0,1,24990,550746.6875,0,1,1,72
Retail Store,GREATER DUWAMISH,1.0,2,24000,1497394.75,0,1,1,74
Warehouse,GREATER DUWAMISH,1.0,1,100386,4060714.75,0,1,1,62
Distribution Center,GREATER DUWAMISH,1.0,1,24354,735907.8125,0,1,1,59
Distribution Center,GREATER DUWAMISH,1.0,1,33600,918950.6875,0,1,1,66
Other,GREATER DUWAMISH,1.0,1,20819,1891759.125,0,1,1,51
Warehouse,GREATER DUWAMISH,1.0,1,23296,1639903.75,0,1,1,58
Mixed Use Property,GREATER DUWAMISH,1.0,1,35222,1840153.25,0,1,1,71
Refrigerated Warehouse,GREATER DUWAMISH,1.0,1,25520,1777297.75,0,1,1,68
Other,GREATER DUWAMISH,1.0,1,25460,907591.625,0,1,0,73
K-12 School,DELRIDGE,1.0,1,41526,2033428.125,0,1,1,55
Small- and Mid-Sized Office,NORTH,1.0,2,24291,920430.625,0,1,0,51
Retail Store,NORTH,1.0,2,20738,526752.8125,0,1,0,67
Mixed Use Property,NORTH,1.0,4,30948,975936.5,0,1,0,25
Medical Office,NORTH,1.0,2,21329,2654316.0,0,1,0,39
Warehouse,GREATER DUWAMISH,1.0,1,21755,956406.375,0,1,1,47
Other,GREATER DUWAMISH,1.0,1,27933,6129780.0,0,1,0,65
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,1,23143,1328072.5,0,1,1,42
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,1,28800,2438706.5,0,1,1,63
Warehouse,GREATER DUWAMISH,1.0,1,39600,405050.4063,0,1,0,73
Warehouse,GREATER DUWAMISH,1.0,1,39600,522105.3125,0,1,1,73
Distribution Center,GREATER DUWAMISH,1.0,1,41248,1180859.625,0,1,1,88
Other,GREATER DUWAMISH,1.0,1,36400,1638043.5,0,1,1,16
Other,SOUTHWEST,1.0,1,31332,3573328.25,0,1,0,105
Worship Facility,SOUTHWEST,1.0,2,35864,1404208.25,0,1,1,77
Worship Facility,GREATER DUWAMISH,1.0,1,20484,961253.6875,0,1,1,71
Medical Office,NORTHEAST,1.0,4,27642,1849331.25,0,1,0,41
Medical Office,NORTHEAST,2.0,4,22356,2824096.75,0,1,0,38
Other,CENTRAL,1.0,4,45082,4426520.0,0,1,1,52
Worship Facility,NORTHWEST,1.0,2,41600,1376059.25,0,1,1,74
Small- and Mid-Sized Office,LAKE UNION,1.0,2,34110,2592728.0,0,1,0,65
Warehouse,GREATER DUWAMISH,1.0,1,23750,522972.1875,0,1,0,55
Warehouse,GREATER DUWAMISH,1.0,1,43390,533742.8125,0,1,0,55
Warehouse,GREATER DUWAMISH,1.0,1,35400,419978.6875,0,1,1,66
Distribution Center,GREATER DUWAMISH,1.0,1,28144,870127.125,0,1,1,59
Warehouse,GREATER DUWAMISH,1.0,3,71283,2654698.5,0,1,1,109
Warehouse,GREATER DUWAMISH,1.0,1,23792,2810298.5,0,1,0,36
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2,47368,1033962.125,0,1,0,46
Mixed Use Property,GREATER DUWAMISH,1.0,1,46183,1898673.75,0,1,1,94
Small- and Mid-Sized Office,CENTRAL,1.0,5,49825,2756929.5,0,1,1,41
Retail Store,SOUTHEAST,1.0,1,36071,1519952.125,0,1,1,57
K-12 School,SOUTHEAST,1.0,3,51672,1523036.0,0,1,1,36
Medical Office,SOUTHEAST,1.0,2,27270,2108861.75,0,1,0,35
Mixed Use Property,SOUTHEAST,1.0,1,28425,2326238.0,0,1,1,30
Other,NORTH,1.0,3,35115,2053325.25,0,1,1,16
Mixed Use Property,NORTHWEST,1.0,1,66704,677904.625,0,1,1,53
Warehouse,NORTHWEST,1.0,1,25658,1063960.125,0,1,1,56
Small- and Mid-Sized Office,EAST,1.0,2,36000,1085871.625,0,1,1,118
Mixed Use Property,EAST,1.0,1,36000,1280845.875,0,1,1,112
Warehouse,EAST,1.0,2,43200,2061027.625,0,1,1,110
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,4,40970,3034711.5,0,1,1,112
Retail Store,GREATER DUWAMISH,1.0,1,43794,1278856.25,0,1,1,50
Warehouse,GREATER DUWAMISH,1.0,1,48280,3123892.75,0,1,1,57
Distribution Center,GREATER DUWAMISH,1.0,1,36040,390592.0,0,1,1,71
Supermarket / Grocery Store,NORTHEAST,1.0,1,32822,9134359.0,0,1,1,60
K-12 School,NORTHEAST,1.0,1,64314,3370435.5,0,1,1,77
Worship Facility,NORTHEAST,1.0,2,20385,908877.375,0,1,1,75
Worship Facility,NORTHEAST,1.0,1,24295,227074.2969,0,1,0,79
Small- and Mid-Sized Office,NORTHEAST,1.0,2,20317,633770.5,0,1,0,58
Supermarket / Grocery Store,NORTHEAST,1.0,1,24377,10133933.0,0,1,1,52
Other,NORTHWEST,1.0,1,33392,2786648.75,0,1,0,39
Supermarket / Grocery Store,NORTHWEST,1.0,1,45155,6732712.5,0,1,1,39
Warehouse,GREATER DUWAMISH,1.0,1,32000,2340055.75,0,1,1,59
Warehouse,GREATER DUWAMISH,1.0,1,44000,4947630.5,0,1,1,55
